UID,Member since,Country,Gender,Watch hours
UGi9320,2023-02-05,Portugal,Male,62
UGi9321,2023-03-09,India,Male,1
UGi9322,2023-05-29,Philippines,Male,46
UGi9323,2022-12-30,Thailand,Female,68
UGi9324,2023-08-30,USA,Female,48
UGi9325,2023-02-12,Canada,Female,43
UGi9326,2021-12-03,USA,Female,69
UGi9327,2023-01-26,Brazil,Female,2
UGi9328,2022-01-22,China,Male,71
UGi9329,2023-06-26,New Zealand,Female,52
UGi9330,2022-09-17,Ghana,Female,60
UGi9331,2022-12-03,China,Female,60
UGi9332,2021-12-18,Portugal,Female,66
UGi9333,2021-11-08,Belarus,Female,46
UGi9334,2022-03-25,New Zealand,Female,74
UGi9335,2021-12-26,Mexico,Female,61
UGi9336,2022-05-29,Switzerland,Male,57
UGi9337,2022-08-30,Australia,Female,33
UGi9338,2022-10-01,China,Male,31
UGi9339,2023-10-10,Iran,Female,78
UGi9340,2022-03-19,Qatar,Male,13
UGi9341,2023-03-27,Nigeria,Female,6
UGi9342,2023-08-28,Croatia,Male,66
UGi9343,2021-11-05,Norway,Male,83
UGi9344,2021-12-30,China,Female,33
UGi9345,2023-02-25,Oman,Female,7
UGi9346,2022-06-25,Mongolia,Female,17
UGi9347,2022-02-16,Philippines,Male,31
UGi9348,2021-12-07,Mongolia,Female,40
UGi9349,2022-04-26,Denmark,Female,40
UGi9350,2023-10-14,Japan,Male,58
UGi9351,2022-06-08,USA,Male,79
UGi9352,2022-05-27,USA,Female,48
UGi9353,2023-08-10,India,Male,79
UGi9354,2023-03-23,Austria,Male,13
UGi9355,2022-11-05,Mexico,Male,6
UGi9356,2022-11-16,Russia,Male,58
UGi9357,2022-03-18,Australia,Female,7
UGi9358,2022-10-27,New Zealand,Female,71
UGi9359,2022-01-22,Italy,Female,25
UGi9360,2022-01-23,China,Male,10
UGi9361,2021-11-26,Saudi Arabia,Female,15
UGi9362,2022-11-05,Nigeria,Male,35
UGi9363,2022-10-15,Oman,Female,32
UGi9364,2023-09-29,Australia,Female,60
UGi9365,2022-05-25,Netherlands,Male,82
UGi9366,2022-03-12,New Zealand,Male,66
UGi9367,2023-09-24,USA,Male,35
UGi9368,2023-08-26,Canada,Female,38
UGi9369,2021-12-31,USA,Male,29
UGi9370,2021-11-29,Singapore,Male,33
UGi9371,2023-02-12,Australia,Male,67
UGi9372,2021-12-23,China,Female,50
UGi9373,2022-06-30,Saudi Arabia,Male,54
UGi9374,2022-02-16,UAE,Female,55
UGi9375,2023-09-06,India,Female,0
UGi9376,2022-09-10,Singapore,Male,72
UGi9377,2022-09-13,Peru,Female,26
UGi9378,2021-11-20,USA,Male,15
UGi9379,2023-05-28,Ghana,Male,32
UGi9380,2022-01-28,UAE,Male,36
UGi9381,2022-09-01,Portugal,Male,38
UGi9382,2023-06-13,Mexico,Female,55
UGi9383,2022-10-03,Japan,Male,54
UGi9384,2023-07-25,Qatar,Female,46
UGi9385,2022-04-29,Sweden,Male,37
UGi9386,2021-12-05,China,Male,65
UGi9387,2022-03-20,Sri Lanka,Male,32
UGi9388,2022-06-05,Italy,Male,59
UGi9389,2023-01-21,Nigeria,Male,39
UGi9390,2023-06-29,Denmark,Female,57
UGi9391,2023-07-07,China,Female,14
