Member since,Gender,Profession,Salary,Zip code
2022-05-15,Male,Product manager,79000,30774
2021-10-02,Female,Charity officer,120000,25796
2023-05-29,Male,Agricultural engineer,133000,28822
2021-11-25,Male,Transport planner,83000,27648
2022-06-21,Male,Writer,94000,30940
2022-06-21,Female,Clothing/textile technologist,103000,26771
2023-09-09,Female,"Surveyor, commercial/residential",84000,27952
2022-09-15,Female,Chief Marketing Officer,117000,25879
2021-10-03,Male,"Engineer, materials",78000,27132
2022-07-05,Female,Agricultural engineer,123000,28189
2022-02-17,Male,Advertising copywriter,70000,28652
2021-09-29,Female,"Librarian, public",145000,29901
2022-09-22,Female,Risk manager,66000,26207
2023-01-10,Female,Dance movement psychotherapist,85000,26526
2021-09-26,Female,Retail merchandiser,119000,28727
2022-08-13,Female,Multimedia specialist,116000,29430
2022-05-07,Female,Geographical information systems officer,68000,28233
2022-04-01,Male,Records manager,63000,26657
2023-08-12,Female,Energy manager,143000,28154
2022-08-08,Male,"Scientist, research (physical sciences)",71000,28705
2022-10-19,Male,"Scientist, water quality",114000,29162
2022-03-10,Female,Hospital doctor,81000,29905
2023-02-22,Male,"Scientist, biomedical",118000,26189
2023-05-14,Male,Public relations account executive,76000,29515
2022-01-20,Female,Insurance claims handler,80000,29662
2022-04-20,Male,General practice doctor,114000,27817
2021-10-29,Male,Maintenance engineer,116000,29032
2023-01-03,Male,Speech and language therapist,135000,26747
2022-06-06,Male,"Solicitor, Scotland",137000,29317
2022-02-18,Female,"Engineer, petroleum",120000,25894
2022-03-31,Male,Airline pilot,92000,25950
2023-09-17,Female,Water quality scientist,111000,28740
2023-08-22,Female,Neurosurgeon,63000,26576
2022-08-19,Male,Charity fundraiser,88000,26653
2023-06-03,Male,Podiatrist,78000,25903
2022-11-30,Male,Hospital doctor,77000,26838
2021-11-17,Female,Chief Strategy Officer,129000,28446
2023-04-19,Female,"Presenter, broadcasting",136000,30787
2022-03-14,Female,"Nurse, learning disability",102000,28307
2022-07-03,Male,"Designer, furniture",82000,27062
2022-01-17,Female,Immigration officer,129000,26233
2023-09-22,Male,Planning and development surveyor,78000,25826
2022-07-13,Female,"Scientist, research (maths)",84000,27103
2022-03-11,Female,Energy engineer,65000,26387
2022-12-21,Male,Astronomer,116000,27661
2022-08-06,Female,"Teacher, English as a foreign language",98000,26966
2023-07-03,Male,Psychotherapist,124000,28942
2022-01-09,Male,"Optician, dispensing",122000,27201
2022-02-26,Male,Purchasing manager,127000,27686
2022-11-12,Male,Structural engineer,67000,25582
2021-12-24,Male,Maintenance engineer,128000,26583
2021-10-19,Female,Ranger/warden,150000,27518
2022-11-16,Male,"Engineer, maintenance",137000,29888
2021-10-22,Female,"Civil engineer, consulting",120000,26067
2023-01-01,Female,Arts administrator,109000,25834
2022-09-30,Female,Hydrologist,124000,28473
2021-12-08,Male,"Engineer, land",76000,30439
2022-11-14,Male,Film/video editor,107000,27471
2021-12-18,Female,Tree surgeon,87000,30544
2022-10-29,Female,Tax inspector,133000,28779
